img_url,link_content_url,link_title,content
https://imgnews.pstatic.net/image/origin/077/2021/06/10/5220114.jpg?type=nf106_72,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=077&aid=0005220114,2021 CMT Music Awards - Show,Kelsea Ballerini Host Kelsea Ballerini appears onstage at the CMT Music …
https://imgnews.pstatic.net/image/origin/014/2021/06/10/4654706.jpg?type=nf106_72,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=014&aid=0004654706,"제네시스, 'G80 전기차' 국내 고객에 첫 공개",[파이낸셜뉴스] 현대자동차의 고급 브랜드 제네시스는 오는 12일부터 30일까지 문화비축기지에서 '리:크리에이트' 특별 전시를 개 …
https://imgnews.pstatic.net/image/origin/366/2021/06/10/730744.jpg?type=nf106_72,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=366&aid=0000730744,"[강세 토픽] 치아·임플란트 테마, 오스테오닉 +13.74%, 나이벡 +4.26%","[치아·임플란트] 테마가 강세다. 전일 대비 2.87% 상승세이다. 오스테오닉(226400) +13.74%, 나이벡(138610 …"
https://imgnews.pstatic.net/image/origin/014/2021/06/10/4654705.jpg?type=nf106_72,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=014&aid=0004654705,"전자랜드, '냉장고 페스타' 진행.. 최대 50% 할인",전자랜드가 오는 30일까지 ‘냉장고 페스타’ 프로모션을 진행해 최대 50% 할인된 가격으로 냉장고를 판매한다고 10일 밝혔다.  …
https://imgnews.pstatic.net/image/origin/014/2021/06/10/4654704.jpg?type=nf106_72,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=014&aid=0004654704,"코로나 백신 접종률 높은 英, 확진자 2월래 최다",코로나19 백신 접종률이 높은 영국에서 하루 신규 확진자가 2월 이후 가장 크게 늘면서 이달 계획된 봉쇄령(록다운) 해제도 연기 …
https://imgnews.pstatic.net/image/origin/469/2021/06/10/609996.jpg?type=nf106_72,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=469&aid=0000609996,"이재명, 원희룡 코로나 방역 협조 요청에 제주 방문 취소","이재명 경기도지사가 10일 원희룡 제주도지사의 요청으로 제주 방문 일정을 취소했다. 이 지사는 이날 자신의 페이스북에 ""제주도의 …"
https://imgnews.pstatic.net/image/origin/014/2021/06/10/4654703.jpg?type=nf106_72,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=014&aid=0004654703,"CU-편스토랑 상품, 누적 1000만 개 판매 돌파",[파이낸셜뉴스] CU는 KBS '신상출시 편스토랑’과의 협업 상품 누적 판매량이 1000만 개를 돌파했다고 10일 밝혔다. 편스 …
https://imgnews.pstatic.net/image/origin/014/2021/06/10/4654702.jpg?type=nf106_72,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=014&aid=0004654702,"GS칼텍스, '미래형 주유소' 선보인다",[파이낸셜뉴스] GS칼텍스가 10일부터 12일까지 사흘간 서울 마포구 소재 문화비축기지에서 열리는 ‘2021 서울 스마트 모빌리 …
https://imgnews.pstatic.net/image/origin/366/2021/06/10/730743.jpg?type=nf106_72,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=366&aid=0000730743,"[강세 토픽] 원격의료 테마, 인바디 +6.84%, 인피니트헬스케어 +5.43%","[원격의료] 테마가 강세다. 전일 대비 2.6% 상승세이다. 인바디(041830) +6.84%, 인피니트헬스케어(071200)  …"
https://imgnews.pstatic.net/image/origin/366/2021/06/10/730742.jpg?type=nf106_72,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=366&aid=0000730742,"티웨이항공, LCC 최초 ‘IATA 트래블패스’ 시범 운영",티웨이항공(091810) 이 국내 저비용항공사(LCC) 최초로 국제항공운송협회(IATA)와 함께 ‘IATA 트래블패스(Trave …
