,title,video_url
0,영화 '발신제한' 개봉 첫 주말 박스오피스 정상 올랐다 / SBS / 굿모닝연예,https://www.youtube.com//watch?v=xL7-1G10xD8
1,원하는 신체 부위를 골라서 맞출 수 있는 '신급 저격술'의 경찰 특공대 [영화리뷰 결말포함],https://www.youtube.com//watch?v=WyLq0ptqJ5g
2,"[CCM prime] 🎞영화 같은 하루를 보낼 당신을 위해 with 샘윤 | 나의 사랑하는 책, 나를 지으신 주님 | 라이브 찬양",https://www.youtube.com//watch?v=8jaB2ECDLmc
3,✔드라마 OST 🥰 영화 사운드 트랙 컬렉션 (광고 없음) 🥰 Best Korean OST Collection HD,https://www.youtube.com//watch?v=xZn5YbqGOs8
4,수많은 어린이들에게 트라우마를 남긴 역대급 공포 영화 (결말포함),https://www.youtube.com//watch?v=rk01_xA5Bzk
5,상상조차 하기 어려운 기술발전을 이룬 외계 종족이 지구를 침략하면 벌어지는 일 ㅎㄷㄷ….. [결말포함/영화리뷰],https://www.youtube.com//watch?v=amN6yozhqys
6,(꿀잼보장) 세자매가 모두 하길 원하면 벌어지는 일 [영화리뷰 결말포함],https://www.youtube.com//watch?v=1tnOTX5KpfA
7,자신의 삶이 영화지만 그 사실을 모른다면,https://www.youtube.com//watch?v=ATZACOqwXGQ
8,현실에서 구체화되는 미스터리 영화 이야기(2),https://www.youtube.com//watch?v=DOpN4CJNfnw
9,권태기가 찾아온 부부에게 ㅅㅅ 처방해준 명의는 누구? [영화리뷰/결말포함],https://www.youtube.com//watch?v=itRi_vUksQo
10,한국인에게 칭찬 받는 중국 영화. 유덕화 판빙빙의 무협 액션 블록버스터,https://www.youtube.com//watch?v=xFmKk_soh7A
11,온에어티비 실시간TV 무료TV ㅣ 지상파 케이블 영화 스포츠 정주행 채널,https://www.youtube.com//watch?v=PHt0KCJL7OM
12,"고질라 대 콩!! [영화리뷰 결말포함][HERO TV-고질라#45] Godzilla vs Kong, 2021",https://www.youtube.com//watch?v=2oDtNYRNoAc
13,"2200년 미래, 유전자 조작으로 무엇이든 가능한 세상이 되었지만 무서운 범죄가 생겨나기 시작한다..  [영화리뷰 결말포함]",https://www.youtube.com//watch?v=PbDIUSnHgCw
14,좀비 바이러스로 인류가 멸망한 세상에서 살아가는 한 여자,https://www.youtube.com//watch?v=S7hcntdFI6Q
15,(영화리뷰)이제껏 경험하지 못한 냉혹한 해결사의 복수 액션 스릴러(결말포함),https://www.youtube.com//watch?v=d4bS5CJqqjk
16,[주식강의] 대한전선.영흥.이화전기.두산인프라코어.영화금속.메디콕스,https://www.youtube.com//watch?v=34cE2iwntnk
17,김유정 X 박해준 X 이성민 @ NETFLIX 넷플릭스 영화 '제8일의 밤' (The 8th Night) 제작보고회 -3 [통통컬처],https://www.youtube.com//watch?v=U33JCQUUfEo
18,김유정 X 박해준 X 이성민 @ NETFLIX 넷플릭스 영화 '제8일의 밤' (The 8th Night) 제작보고회 -2 [통통컬처],https://www.youtube.com//watch?v=2XcN1F7DO18
19,김유정 X 박해준 X 이성민 @ NETFLIX 넷플릭스 영화 '제8일의 밤' (The 8th Night) 제작보고회 -1 [통통컬처],https://www.youtube.com//watch?v=BGsPYChFIjI
